Time [s], ABP
0,70.404
0.008,70.013
0.016,69.818
0.024,69.426
0.032,69.035
0.04,68.84
0.048,68.644
0.056,69.035
0.064,71.186
0.072,75.88
0.08,84.094
0.088,95.632
0.096,110.3
0.104,126.53
0.112,142.37
0.12,156.06
0.128,165.25
0.136,169.36
0.144,168.58
0.152,164.08
0.16,157.63
0.168,150.78
0.176,144.72
0.184,140.22
0.192,137.48
0.2,135.92
0.208,135.33
0.216,135.14
0.224,134.75
0.232,134.35
0.24,133.57
0.248,132.99
0.256,132.2
0.264,131.62
0.272,131.42
0.28,131.03
0.288,130.83
0.296,130.25
0.304,129.27
0.312,127.9
0.32,125.95
0.328,123.4
0.336,120.47
0.344,117.34
0.352,113.62
0.36,109.52
0.368,105.02
0.376,100.33
0.384,95.828
0.392,91.721
0.4,88.396
0.408,86.05
0.416,84.876
0.424,84.485
0.432,85.072
0.44,86.245
0.448,87.419
0.456,88.592
0.464,89.57
0.472,90.157
0.48,90.352
0.488,90.352
0.496,90.157
0.504,89.57
0.512,89.179
0.52,88.592
0.528,88.005
0.536,87.223
0.544,86.441
0.552,85.658
0.56,84.485
0.568,83.507
0.576,82.334
0.584,81.16
0.592,80.183
0.6,79.4
0.608,78.422
0.616,77.836
0.624,77.054
0.632,76.467
0.64,75.88
0.648,75.293
0.656,74.902
0.664,74.316
0.672,73.924
0.68,73.533
0.688,73.142
0.696,72.947
0.704,72.751
0.712,72.36
0.72,72.164
0.728,71.969
0.736,71.578
0.744,71.186
0.752,70.991
0.76,70.6
0.768,70.404
0.776,70.209
0.784,70.013
0.792,69.818
0.8,69.426
0.808,69.035
0.816,68.644
0.824,68.644
0.832,69.622
0.84,72.164
0.848,77.445
0.856,86.245
0.864,98.175
0.872,113.04
0.88,128.88
0.888,144.13
0.896,156.65
0.904,164.67
0.912,167.8
0.92,166.43
0.928,161.73
0.936,155.48
0.944,149.02
0.952,143.55
0.96,139.64
0.968,137.09
0.976,135.72
0.984,135.14
0.992,134.75
1,134.16
1.008,133.57
1.016,132.99
1.024,132.2
1.032,131.62
1.04,131.23
1.048,131.03
1.056,130.64
1.064,130.25
1.072,129.66
1.08,128.49
1.088,126.92
1.096,124.77
1.104,122.43
1.112,119.49
1.12,116.17
1.128,112.45
1.136,108.34
1.144,103.85
1.152,99.153
1.16,94.459
1.168,90.352
1.176,87.027
1.184,84.876
1.192,83.898
1.2,83.898
1.208,84.681
1.216,86.05
1.224,87.419
1.232,88.788
1.24,89.57
1.248,90.157
1.256,90.352
1.264,90.157
1.272,89.961
1.28,89.374
1.288,88.983
1.296,88.396
1.304,87.81
1.312,87.223
1.32,86.441
1.328,85.658
1.336,84.485
1.344,83.312
1.352,82.138
1.36,80.965
1.368,79.987
1.376,79.009
1.384,78.227
1.392,77.445
1.4,76.662
1.408,76.076
1.416,75.489
1.424,74.902
1.432,74.316
1.44,73.924
1.448,73.533
1.456,73.142
1.464,72.751
1.472,72.555
1.48,72.164
1.488,71.969
1.496,71.773
1.504,71.382
1.512,70.991
1.52,70.795
1.528,70.6
1.536,70.404
1.544,70.209
1.552,70.013
1.56,69.818
1.568,69.426
1.576,69.035
1.584,68.84
1.592,68.449
1.6,68.644
1.608,69.818
1.616,73.142
1.624,79.4
1.632,88.983
1.64,101.5
1.648,116.56
1.656,132.59
1.664,147.26
1.672,158.8
1.68,165.84
1.688,168.19
1.696,166.04
1.704,160.95
1.712,154.5
1.72,148.44
1.728,143.35
1.736,139.64
1.744,137.48
1.752,136.31
1.76,135.72
1.768,135.14
1.776,134.55
1.784,133.77
1.792,132.79
1.8,131.81
1.808,131.03
1.816,130.64
1.824,130.44
1.832,130.44
1.84,130.25
1.848,129.66
1.856,128.68
1.864,127.12
1.872,124.97
1.88,122.43
1.888,119.3
1.896,115.78
1.904,111.86
1.912,107.37
1.92,102.67
1.928,97.784
1.936,93.286
1.944,89.179
1.952,86.245
1.96,84.485
1.968,83.703
1.976,84.094
1.984,85.072
1.992,86.441
2,88.005
2.008,89.374
