Time [s], PLETH
0,0.63636
0.008,0.65689
0.016,0.67351
0.024,0.68817
0.032,0.6999
0.04,0.7087
0.048,0.71652
0.056,0.72043
0.064,0.72336
0.072,0.72434
0.08,0.72532
0.088,0.72434
0.096,0.72239
0.104,0.71848
0.112,0.71359
0.12,0.70674
0.128,0.69892
0.136,0.68915
0.144,0.67742
0.152,0.66471
0.16,0.652
0.168,0.63636
0.176,0.62072
0.184,0.60411
0.192,0.58749
0.2,0.57185
0.208,0.55718
0.216,0.54448
0.224,0.53372
0.232,0.52395
0.24,0.51515
0.248,0.50635
0.256,0.50049
0.264,0.49365
0.272,0.48778
0.28,0.48094
0.288,0.4741
0.296,0.46725
0.304,0.46139
0.312,0.45455
0.32,0.4477
0.328,0.44184
0.336,0.43597
0.344,0.43109
0.352,0.4262
0.36,0.42229
0.368,0.4174
0.376,0.41251
0.384,0.40762
0.392,0.40274
0.4,0.39785
0.408,0.39296
0.416,0.38905
0.424,0.38514
0.432,0.38123
0.44,0.37732
0.448,0.37439
0.456,0.37146
0.464,0.36852
0.472,0.36461
0.48,0.3607
0.488,0.35679
0.496,0.35288
0.504,0.34897
0.512,0.34409
0.52,0.34115
0.528,0.33822
0.536,0.33822
0.544,0.34018
0.552,0.34604
0.56,0.35582
0.568,0.37243
0.576,0.39492
0.584,0.42229
0.592,0.45552
0.6,0.48974
0.608,0.52493
0.616,0.55816
0.624,0.58847
0.632,0.61584
0.64,0.63832
0.648,0.65494
0.656,0.66764
0.664,0.68035
0.672,0.69013
0.68,0.69795
0.688,0.70479
0.696,0.7087
0.704,0.71163
0.712,0.71261
0.72,0.71261
0.728,0.71163
0.736,0.7087
0.744,0.70479
0.752,0.6999
0.76,0.69306
0.768,0.68524
0.776,0.67546
0.784,0.66373
0.792,0.65005
0.8,0.63539
0.808,0.61877
0.816,0.60313
0.824,0.58651
0.832,0.57087
0.84,0.55523
0.848,0.54252
0.856,0.53177
0.864,0.52004
0.872,0.51026
0.88,0.50049
0.888,0.49169
0.896,0.48387
0.904,0.47703
0.912,0.47019
0.92,0.46334
0.928,0.45748
0.936,0.45161
0.944,0.44575
0.952,0.44086
0.96,0.43695
0.968,0.43206
0.976,0.4262
0.984,0.42131
0.992,0.4174
1,0.41349
1.008,0.40958
1.016,0.40469
1.024,0.40078
1.032,0.39589
1.04,0.39198
1.048,0.38807
1.056,0.38612
1.064,0.38221
1.072,0.3783
1.08,0.37439
1.088,0.36364
1.096,0.34995
1.104,0.34115
1.112,0.33529
1.12,0.3304
1.128,0.32649
1.136,0.32258
1.144,0.31769
1.152,0.31476
1.16,0.31281
1.168,0.30987
1.176,0.30792
1.184,0.3089
1.192,0.31378
1.2,0.32454
1.208,0.34213
1.216,0.36755
1.224,0.39785
1.232,0.43402
1.24,0.47312
1.248,0.50635
1.256,0.53763
1.264,0.56989
1.272,0.6002
1.28,0.62659
1.288,0.64907
1.296,0.66764
1.304,0.68328
1.312,0.69599
1.32,0.70577
1.328,0.71359
1.336,0.71848
1.344,0.72239
1.352,0.72434
1.36,0.72336
1.368,0.72141
1.376,0.71848
1.384,0.71457
1.392,0.7087
1.4,0.70088
1.408,0.6911
1.416,0.67937
1.424,0.66667
1.432,0.65103
1.44,0.63441
1.448,0.61877
1.456,0.60313
1.464,0.58651
1.472,0.56989
1.48,0.55327
1.488,0.53763
1.496,0.52297
1.504,0.51026
1.512,0.49951
1.52,0.48974
1.528,0.47996
1.536,0.47214
1.544,0.4653
1.552,0.45846
1.56,0.45259
1.568,0.44673
1.576,0.43988
1.584,0.43304
1.592,0.4262
1.6,0.42033
1.608,0.41349
1.616,0.40762
1.624,0.40176
1.632,0.39589
1.64,0.39003
1.648,0.38612
1.656,0.38221
1.664,0.37634
1.672,0.37146
1.68,0.36657
1.688,0.3607
1.696,0.35582
1.704,0.35191
1.712,0.34702
1.72,0.34213
1.728,0.33724
1.736,0.33431
1.744,0.3304
1.752,0.32747
1.76,0.32454
1.768,0.32063
1.776,0.31574
1.784,0.31085
1.792,0.30596
1.8,0.30108
1.808,0.29717
1.816,0.29619
1.824,0.29814
1.832,0.30401
1.84,0.31476
1.848,0.32942
1.856,0.34897
1.864,0.37439
1.872,0.40665
1.88,0.44184
1.888,0.47801
1.896,0.5132
1.904,0.54545
1.912,0.57478
1.92,0.6002
1.928,0.6217
1.936,0.63832
1.944,0.65103
1.952,0.65885
1.96,0.66373
1.968,0.66862
1.976,0.67351
1.984,0.67742
1.992,0.68133
2,0.68719
2.008,0.69501
2.016,0.70283
2.024,0.71261
2.032,0.72043
2.04,0.7263
2.048,0.72923
2.056,0.72825
2.064,0.72532
2.072,0.7175
2.08,0.70674
2.088,0.69208
2.096,0.67351
2.104,0.65298
2.112,0.62952
2.12,0.60508
2.128,0.58162
2.136,0.55816
2.144,0.53763
2.152,0.52004
2.16,0.50635
2.168,0.49267
2.176,0.47996
2.184,0.46823
2.192,0.45552
2.2,0.44477
2.208,0.43402
2.216,0.42424
2.224,0.41447
2.232,0.40469
2.24,0.39687
2.248,0.39003
2.256,0.38416
2.264,0.3783
2.272,0.37243
2.28,0.36755
2.288,0.36461
2.296,0.36168
2.304,0.35875
2.312,0.35484
2.32,0.35093
2.328,0.34702
2.336,0.34115
2.344,0.33529
2.352,0.3304
2.36,0.32551
2.368,0.31867
2.376,0.31085
2.384,0.30303
2.392,0.29521
2.4,0.28739
2.408,0.27859
2.416,0.26979
2.424,0.261
2.432,0.2522
2.44,0.2434
2.448,0.23754
2.456,0.23363
2.464,0.23069
2.472,0.23069
2.48,0.23558
2.488,0.24536
2.496,0.26197
2.504,0.28543
2.512,0.31281
2.52,0.34213
2.528,0.37341
2.536,0.40371
2.544,0.42815
2.552,0.44868
2.56,0.46921
2.568,0.4868
2.576,0.50147
2.584,0.51417
2.592,0.52395
2.6,0.53079
2.608,0.53666
2.616,0.54057
2.624,0.54252
2.632,0.5435
2.64,0.5435
2.648,0.54154
2.656,0.53959
2.664,0.53568
2.672,0.52981
2.68,0.52395
2.688,0.51613
2.696,0.50635
2.704,0.49462
2.712,0.48192
2.72,0.46725
2.728,0.45259
2.736,0.43695
2.744,0.42326
2.752,0.41251
2.76,0.3998
2.768,0.3871
2.776,0.37537
2.784,0.36461
2.792,0.35582
2.8,0.348
2.808,0.34115
2.816,0.33627
2.824,0.33236
2.832,0.32845
2.84,0.32551
2.848,0.32258
2.856,0.32063
2.864,0.31769
2.872,0.31378
2.88,0.3089
2.888,0.30499
2.896,0.30108
2.904,0.29814
2.912,0.29619
2.92,0.29326
2.928,0.29032
2.936,0.28739
2.944,0.28641
2.952,0.28446
2.96,0.2825
2.968,0.27957
